queue_id,company_id,report_id,inventory_year,reporting_entity_en,scope_en,energy_metric_en,energy_type_en,renewable_or_nonrenewable,purchased_electricity_flag,fuel_type,value,unit,source_basis_en,linked_emission_record_id,linked_factor_id,evidence_page,source_file,review_decision,reviewer_note,confidence_level
energy_00057,r061_valeroenergy,,,VALERO ENERGY,Scope 2,Purchased electricity,,,yes,,,,,r061_valeroenergy_Scope 2_57,,20,VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf,,,
energy_00058,r066_metaplatforms公司,,,Meta Platforms,Scope 1,Fuel or site energy consumption,,,,,,,,r066_metaplatforms公司_Scope 1_58,,78,Meta-2024-Sustainability-Report.pdf,,,
energy_00059,r066_metaplatforms公司,,,Meta Platforms,Scope 2,Purchased electricity,,,yes,,,,,r066_metaplatforms公司_Scope 2_59,,80,Meta-2024-Sustainability-Report.pdf,,,
energy_00060,r066_metaplatforms公司,,,Meta Platforms,Scope 2,Purchased electricity,,,yes,,,,,r066_metaplatforms公司_Scope 2_60,,78,Meta-2024-Sustainability-Report.pdf,,,
energy_00061,r070_alibabagroupholding,,,ALIBABA GROUP HOLDING,Scope 1,Fuel or site energy consumption,,,,,,,,r070_alibabagroupholding_Scope 1_61,,112,2025 阿里巴巴环境、社会和治理（ESG）报告.pdf,,,
energy_00062,r070_alibabagroupholding,,,ALIBABA GROUP HOLDING,Scope 2,Purchased electricity,,,yes,,,,,r070_alibabagroupholding_Scope 2_62,,112,2025 阿里巴巴环境、社会和治理（ESG）报告.pdf,,,
energy_00063,r071_citicgroup,,,CITIC GROUP,Scope 1,Fuel or site energy consumption,,,,,,,,r071_citicgroup_Scope 1_63,,127,2024中国中信集团有限公司环境、社会及管治报告.pdf,,,
energy_00064,r073_hyundaimotor,,,HYUNDAI MOTOR,Scope 2,Purchased electricity,,,yes,,,,,r073_hyundaimotor_Scope 2_64,,41,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,,,
energy_00065,r073_hyundaimotor,,,HYUNDAI MOTOR,Scope 1,Fuel or site energy consumption,,,,,,,,r073_hyundaimotor_Scope 1_65,,39,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,,,
energy_00066,r073_hyundaimotor,,,HYUNDAI MOTOR,Scope 2,Purchased electricity,,,yes,,,,,r073_hyundaimotor_Scope 2_66,,39,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,,,
energy_00067,r079_uniper公司,,,Uniper,Scope 1,Fuel or site energy consumption,,,,,,,,r079_uniper公司_Scope 1_67,,27,2025_08_07_Uniper_Climate_Transition_Plan_2025.pdf,,,
energy_00068,r082_allianz,,,ALLIANZ,Scope 2,Purchased electricity,,,yes,,,,,r082_allianz_Scope 2_68,,78,en-allianz-group-annual-report-2024.pdf,,,
energy_00069,r089_rosneftoil,,,ROSNEFT OIL,Scope 1,Fuel or site energy consumption,,,,,,,,r089_rosneftoil_Scope 1_69,,63,ROSNEFT OIL-Rosneft_SR2024_ENG.pdf,,,
energy_00070,r091_equinor公司,,,Equinor,Scope 1,Fuel or site energy consumption,,,,,,,,r091_equinor公司_Scope 1_70,,117,annual-report-2024-equinor.pdf,,,
energy_00071,r091_equinor公司,,,Equinor,Scope 2,Purchased electricity,,,yes,,,,,r091_equinor公司_Scope 2_71,,117,annual-report-2024-equinor.pdf,,,
energy_00072,r091_equinor公司,,,Equinor,Scope 2,Purchased electricity,,,yes,,,,,r091_equinor公司_Scope 2_72,,117,annual-report-2024-equinor.pdf,,,
energy_00073,r093_saicmotor,,,SAIC MOTOR,Scope 1,Fuel or site energy consumption,,,,,,,,r093_saicmotor_Scope 1_73,,50,2024-上海汽车集团股份有限公司ESG报告.pdf,,,
