queue_id,company_id,world500_rank,company_name_en,report_id,inventory_year,financial_subsector,cat15_disclosure_status,pcaf_standard_mentioned,financed_or_facilitated_or_insured,asset_class,portfolio_segment,absolute_emissions_mtco2e,intensity_value,intensity_unit,attribution_factor,exposure_amount,evic_or_enterprise_value,pcaf_data_quality_score,coverage_percent,scope_included,evidence_page,source_file,review_decision,reviewer_note,confidence_level
pcaf_cat15_00144,r088_freddiemac,88,FREDDIE MAC,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00145,r092_humana,92,HUMANA,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00146,r092_humana,92,HUMANA,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00147,r092_humana,92,HUMANA,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00148,r092_humana,92,HUMANA,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00149,r092_humana,92,HUMANA,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00150,r092_humana,92,HUMANA,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00151,r094_statefarminsurance,94,STATE FARM INSURANCE,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00152,r094_statefarminsurance,94,STATE FARM INSURANCE,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00153,r094_statefarminsurance,94,STATE FARM INSURANCE,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00154,r094_statefarminsurance,94,STATE FARM INSURANCE,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00155,r094_statefarminsurance,94,STATE FARM INSURANCE,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00156,r094_statefarminsurance,94,STATE FARM INSURANCE,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00157,r095_lifeinsurancecorpofindia,95,LIFE INSURANCE CORP. OF INDIA,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00158,r095_lifeinsurancecorpofindia,95,LIFE INSURANCE CORP. OF INDIA,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00159,r095_lifeinsurancecorpofindia,95,LIFE INSURANCE CORP. OF INDIA,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00160,r095_lifeinsurancecorpofindia,95,LIFE INSURANCE CORP. OF INDIA,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00161,r095_lifeinsurancecorpofindia,95,LIFE INSURANCE CORP. OF INDIA,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00162,r095_lifeinsurancecorpofindia,95,LIFE INSURANCE CORP. OF INDIA,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00163,r104_sociétégénérale,104,SOCIÉTÉ GÉNÉRALE,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00164,r104_sociétégénérale,104,SOCIÉTÉ GÉNÉRALE,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00165,r104_sociétégénérale,104,SOCIÉTÉ GÉNÉRALE,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00166,r104_sociétégénérale,104,SOCIÉTÉ GÉNÉRALE,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00167,r104_sociétégénérale,104,SOCIÉTÉ GÉNÉRALE,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00168,r104_sociétégénérale,104,SOCIÉTÉ GÉNÉRALE,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00169,r111_morganstanley,111,MORGAN STANLEY,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00170,r111_morganstanley,111,MORGAN STANLEY,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00171,r111_morganstanley,111,MORGAN STANLEY,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00172,r111_morganstanley,111,MORGAN STANLEY,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00173,r111_morganstanley,111,MORGAN STANLEY,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00174,r111_morganstanley,111,MORGAN STANLEY,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00175,r113_brookfield,113,BROOKFIELD,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00176,r113_brookfield,113,BROOKFIELD,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00177,r113_brookfield,113,BROOKFIELD,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00178,r113_brookfield,113,BROOKFIELD,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00179,r113_brookfield,113,BROOKFIELD,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
