activity_category_en,assurance_stage_en,calculation_method_en,company_id,company_name_en,company_name_zh,data_source_type_en,evidence_page,gbt4754_section_code,gbt4754_section_name_en,gbt4754_section_name_zh,label,match_status,node_id,node_type,page_count,report_id,review_status,scope_en,source_file,standard_name_en,world500_rank,batch_id
,,,,,,,3,,,,batch_01__r016_mckesson__20240__impactreport__tcfd,,standard_ref::batch_01__r016_mckesson__20240__impactreport__tcfd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,44,,,,batch_01__r016_mckesson__20240__impactreport__ghg_protocol,,standard_ref::batch_01__r016_mckesson__20240__impactreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,45,,,,batch_01__r016_mckesson__20240__impactreport__sbti,,standard_ref::batch_01__r016_mckesson__20240__impactreport__sbti,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,6,,,,batch_01__r019_trafiguragroup__20240__sustainabilityreport__esrs_csrd,,standard_ref::batch_01__r019_trafiguragroup__20240__sustainabilityreport__esrs_csrd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,25,,,,batch_01__r019_trafiguragroup__20240__sustainabilityreport__ghg_protocol,,standard_ref::batch_01__r019_trafiguragroup__20240__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r020_costcowholesale__nan__climatereport__ghg_protocol,,standard_ref::batch_01__r020_costcowholesale__nan__climatereport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r020_costcowholesale__nan__climatereport__tcfd,,standard_ref::batch_01__r020_costcowholesale__nan__climatereport__tcfd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r020_costcowholesale__nan__climatereport__sbti,,standard_ref::batch_01__r020_costcowholesale__nan__climatereport__sbti,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,3,,,,batch_01__r021_jpmorganchase__20240__climatereport__tcfd,,standard_ref::batch_01__r021_jpmorganchase__20240__climatereport__tcfd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,4,,,,batch_01__r021_jpmorganchase__20240__climatereport__pcaf,,standard_ref::batch_01__r021_jpmorganchase__20240__climatereport__pcaf,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,4,,,,batch_01__r023_totalenergies__20250__sustainabilityreport__gri,,standard_ref::batch_01__r023_totalenergies__20250__sustainabilityreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,4,,,,batch_01__r023_totalenergies__20250__sustainabilityreport__esrs_csrd,,standard_ref::batch_01__r023_totalenergies__20250__sustainabilityreport__esrs_csrd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,18,,,,batch_01__r023_totalenergies__20250__sustainabilityreport__ghg_protocol,,standard_ref::batch_01__r023_totalenergies__20250__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,34,,,,batch_01__r023_totalenergies__20250__sustainabilityreport__tcfd,,standard_ref::batch_01__r023_totalenergies__20250__sustainabilityreport__tcfd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,78,,,,batch_01__r026_microsoft__20250__sustainabilityreport__esrs_csrd,,standard_ref::batch_01__r026_microsoft__20250__sustainabilityreport__esrs_csrd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,88,,,,batch_01__r026_microsoft__20250__sustainabilityreport__ghg_protocol,,standard_ref::batch_01__r026_microsoft__20250__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,88,,,,batch_01__r026_microsoft__20250__sustainabilityreport__gri,,standard_ref::batch_01__r026_microsoft__20250__sustainabilityreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
