confidence_level,evidence_page,relation,review_status,section_role,source,target,batch_id
,,has_standard_role,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sbti,standard_role::target_validation_guideline,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sbti,principle::science_based_ambition,batch_01
medium,36,documents_standard_reference,seed_batch_01,,report::r010_cvshealth公司__20240__impactreport,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,batch_01
,,references_standard,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,standard::ghg_protocol,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,standard_family::ghg_accounting_system,batch_01
,,has_standard_role,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,standard_role::accounting_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,principle::relevance,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,principle::completeness,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,principle::consistency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,principle::transparency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ghg_protocol,principle::accuracy,batch_01
medium,73,documents_standard_reference,seed_batch_01,,report::r010_cvshealth公司__20240__impactreport,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_tcfd,batch_01
,,references_standard,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_tcfd,standard::tcfd,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_tcfd,standard_family::climate_disclosure_framework,batch_01
,,has_standard_role,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_tcfd,standard_role::disclosure_recommendation,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_tcfd,principle::consistency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_tcfd,principle::materiality,batch_01
medium,74,documents_standard_reference,seed_batch_01,,report::r010_cvshealth公司__20240__impactreport,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ifrs_s2,batch_01
,,references_standard,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ifrs_s2,standard::ifrs_s2,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ifrs_s2,standard_family::climate_disclosure_standard,batch_01
,,has_standard_role,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ifrs_s2,standard_role::disclosure_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ifrs_s2,principle::comparability,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_ifrs_s2,principle::financial_materiality,batch_01
medium,3,documents_standard_reference,seed_batch_01,,report::r011_volkswagen__20230__sustainabilityreport,standard_ref::batch_01_r011_volkswagen_20230_sustainabilityreport_gri,batch_01
,,references_standard,,,standard_ref::batch_01_r011_volkswagen_20230_sustainabilityreport_gri,standard::gri,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r011_volkswagen_20230_sustainabilityreport_gri,standard_family::esg_disclosure_framework,batch_01
,,has_standard_role,,,standard_ref::batch_01_r011_volkswagen_20230_sustainabilityreport_gri,standard_role::disclosure_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r011_volkswagen_20230_sustainabilityreport_gri,principle::materiality,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r011_volkswagen_20230_sustainabilityreport_gri,principle::comparability,batch_01
